lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,0,0.10726824965757208,0.10726824965757208,0.10726824965757208,0.10726824965757208,0.10726824965757208,0.10726824965757208,0.10726824965757208,0.10726824965757208
bat,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pitch,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pitch,4,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263
pitch,8,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263
pitch,12,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263,0.8008084922779263
