lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.647917604982255,3.1420103292080426,2.9403749120019973,2.602677980535666,2.6496355137742067,2.647917604982255,2.602677980535666,2.647917604982255
bank,4,1.8567854173767364,1.8567854173767364,1.8567854173767364,1.8567854173767364,1.8567854173767364,1.8567854173767364,1.8567854173767364,1.8567854173767364
bank,8,1.4717376749256912,1.4717376749256912,1.4717376749256912,1.4717376749256912,1.4717376749256912,1.4717376749256912,1.4717376749256912,1.4717376749256912
bank,12,1.2397679111053446,1.2397679111053446,1.2397679111053446,1.2397679111053446,1.2397679111053446,1.2397679111053446,1.2397679111053446,1.2397679111053446
bat,0,1.797284198298791,1.6888302263333599,1.797284198298791,1.797284198298791,1.797284198298791,1.797284198298791,2.378890459563195,1.797284198298791
bat,4,1.255268794296105,1.255268794296105,1.255268794296105,1.255268794296105,1.255268794296105,1.255268794296105,1.255268794296105,1.255268794296105
bat,8,1.2866957423439196,1.2866957423439196,1.2866957423439196,1.2866957423439196,1.2866957423439196,1.2866957423439196,1.2866957423439196,1.2866957423439196
bat,12,1.381884590479025,1.381884590479025,1.381884590479025,1.381884590479025,1.381884590479025,1.381884590479025,1.381884590479025,1.381884590479025
pitch,0,2.048001996720733,2.048001996720733,2.048001996720733,2.5926527939387136,2.048001996720733,2.0351733867368167,2.048001996720733,2.048001996720733
pitch,4,1.4249987860364086,1.4249987860364086,1.4249987860364086,1.4249987860364086,3.4898841422898994,1.4249987860364086,1.4249987860364086,1.4249987860364086
pitch,8,1.463175839274826,1.463175839274826,1.463175839274826,1.463175839274826,1.463175839274826,1.463175839274826,1.463175839274826,1.463175839274826
pitch,12,1.3151600784554596,1.3151600784554596,1.3151600784554596,1.3151600784554596,1.3151600784554596,1.3151600784554596,1.3151600784554596,1.3151600784554596
